City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Belyy Yar,RU,2022-04-26 18:51:25,53.6039,91.3903,33.69,64,0,4.47
179,Pringsewu,ID,2022-04-26 18:54:02,-5.3582,104.9744,74.3,92,92,1.25
180,Ostrovnoy,RU,2022-04-26 18:49:29,68.0531,39.5131,17.6,69,3,16.28
181,New Norfolk,AU,2022-04-26 18:45:30,-42.7826,147.0587,49.71,89,100,1.9
182,Lebu,CL,2022-04-26 18:48:58,-37.6167,-73.65,52.95,78,8,10.94
183,Avarua,CK,2022-04-26 18:46:52,-21.2078,-159.775,78.85,94,40,2.3
184,Rapid Valley,US,2022-04-26 18:55:03,44.0625,-103.1463,70.77,25,56,10.0
185,Lavrentiya,RU,2022-04-26 18:55:04,65.5833,-171.0,21.06,88,97,3.36
186,Kayerkan,RU,2022-04-26 18:55:04,69.3497,87.7602,10.53,72,97,7.54
187,Zuwarah,LY,2022-04-26 18:46:40,32.9312,12.082,65.37,70,32,26.8
188,Tura,IN,2022-04-26 18:46:40,25.5198,90.2201,76.19,73,0,5.59
189,Oktyabrskiy,RU,2022-04-26 18:55:04,54.4815,53.471,59.95,63,25,14.85
190,Sassandra,CI,2022-04-26 18:55:05,4.95,-6.0833,80.87,84,100,8.12
191,Murgab,TM,2022-04-26 18:55:05,37.4966,61.9714,76.87,31,100,13.8
192,Trofors,NO,2022-04-26 18:55:06,65.5333,13.4063,28.27,94,100,3.4
193,Tigil,RU,2022-04-26 18:55:06,57.8,158.6667,27.59,97,100,6.46
194,Ascension,US,2022-04-26 18:55:06,30.2169,-90.9001,79.09,64,0,6.91
195,Jawhar,SO,2022-04-26 18:55:07,2.7809,45.5005,81.59,69,100,7.78
196,Jingdezhen,CN,2022-04-26 18:55:07,29.2947,117.2079,68.65,97,100,3.8
197,Tofield,CA,2022-04-26 18:55:07,53.3668,-112.6686,57.38,49,100,14.36
198,Khatanga,RU,2022-04-26 18:55:08,71.9667,102.5,10.13,94,100,6.67
199,Kuytun,RU,2022-04-26 18:55:08,54.3419,101.5036,34.07,63,100,5.26
200,Buraydah,SA,2022-04-26 18:53:15,26.326,43.975,82.85,38,0,15.86
201,Leshukonskoye,RU,2022-04-26 18:46:34,64.8989,45.7622,32.79,92,100,7.49
202,Bull Savanna,JM,2022-04-26 18:55:09,17.8868,-77.5902,77.61,75,98,7.63
203,Macaiba,BR,2022-04-26 18:55:09,-5.8583,-35.3539,86.38,74,40,20.71
204,Arari,BR,2022-04-26 18:51:45,-3.4536,-44.78,80.98,85,99,3.42
205,Griffith,US,2022-04-26 18:55:10,41.5284,-87.4237,49.3,54,100,14.97
206,Carnarvon,AU,2022-04-26 18:43:06,-24.8667,113.6333,69.87,68,75,21.85
207,Angoram,PG,2022-04-26 18:55:11,-4.0625,144.0661,72.86,96,54,1.16
208,Kapaa,US,2022-04-26 18:46:39,22.0752,-159.319,76.98,94,100,5.75
209,Holme,DK,2022-04-26 18:55:11,56.1138,10.1725,51.37,64,23,4.9
210,Sabha,LY,2022-04-26 18:55:12,27.0377,14.4283,87.96,7,100,11.86
211,Denpasar,ID,2022-04-26 18:50:17,-8.65,115.2167,78.46,88,20,2.3
212,San Cristobal,VE,2022-04-26 18:51:36,7.7669,-72.225,78.98,56,98,2.59
213,Kahului,US,2022-04-26 18:46:39,20.8947,-156.47,75.22,80,40,13.8
214,Karasjok,NO,2022-04-26 18:55:12,69.4719,25.5112,14.16,82,77,11.39
215,Caravelas,BR,2022-04-26 18:55:13,-17.7125,-39.2481,81.19,64,0,6.13
216,Sambava,MG,2022-04-26 18:55:13,-14.2667,50.1667,74.7,83,83,7.38
217,Taldan,RU,2022-04-26 18:55:13,53.6667,124.8,25.77,61,1,6.55
218,Chokurdakh,RU,2022-04-26 18:55:14,70.6333,147.9167,2.44,99,100,6.13
219,Kisangani,CD,2022-04-26 18:55:14,0.5167,25.2,72.03,94,95,3.78
220,Krasnorechenskiy,RU,2022-04-26 18:55:14,44.6265,135.3532,37.06,85,92,7.29
221,Manokwari,ID,2022-04-26 18:55:15,-0.8667,134.0833,78.76,77,75,3.04
222,Putina,PE,2022-04-26 18:55:15,-15.4667,-69.4333,50.34,57,99,8.59
223,Fortuna,US,2022-04-26 18:52:09,40.5982,-124.1573,57.92,59,40,11.5
224,Ust-Tsilma,RU,2022-04-26 18:52:38,65.441,52.1498,34.48,94,100,10.74
225,Maniitsoq,GL,2022-04-26 18:55:16,65.4167,-52.9,31.86,98,100,34.43
226,Conceicao Do Araguaia,BR,2022-04-26 18:50:59,-8.2578,-49.2647,86.74,56,39,4.56
227,Mapimi,MX,2022-04-26 18:55:16,25.8167,-103.85,75.33,42,82,7.34
228,Cap Malheureux,MU,2022-04-26 18:55:16,-19.9842,57.6142,76.46,78,7,1.99
